"first_name","email"
"MARY","MARY.SMITH@sakilacustomer.org"
"PATRICIA","PATRICIA.JOHNSON@sakilacustomer.org"
"LINDA","LINDA.WILLIAMS@sakilacustomer.org"
"BARBARA","BARBARA.JONES@sakilacustomer.org"
"ELIZABETH","ELIZABETH.BROWN@sakilacustomer.org"
"JENNIFER","JENNIFER.DAVIS@sakilacustomer.org"
"MARIA","MARIA.MILLER@sakilacustomer.org"
"SUSAN","SUSAN.WILSON@sakilacustomer.org"
"MARGARET","MARGARET.MOORE@sakilacustomer.org"
"DOROTHY","DOROTHY.TAYLOR@sakilacustomer.org"
"LISA","LISA.ANDERSON@sakilacustomer.org"
"NANCY","NANCY.THOMAS@sakilacustomer.org"
"KAREN","KAREN.JACKSON@sakilacustomer.org"
"BETTY","BETTY.WHITE@sakilacustomer.org"
"HELEN","HELEN.HARRIS@sakilacustomer.org"
"SANDRA","SANDRA.MARTIN@sakilacustomer.org"
"DONNA","DONNA.THOMPSON@sakilacustomer.org"
"CAROL","CAROL.GARCIA@sakilacustomer.org"
"RUTH","RUTH.MARTINEZ@sakilacustomer.org"
"SHARON","SHARON.ROBINSON@sakilacustomer.org"
"MICHELLE","MICHELLE.CLARK@sakilacustomer.org"
"LAURA","LAURA.RODRIGUEZ@sakilacustomer.org"
"SARAH","SARAH.LEWIS@sakilacustomer.org"
"KIMBERLY","KIMBERLY.LEE@sakilacustomer.org"
"DEBORAH","DEBORAH.WALKER@sakilacustomer.org"
"JESSICA","JESSICA.HALL@sakilacustomer.org"
"SHIRLEY","SHIRLEY.ALLEN@sakilacustomer.org"
"CYNTHIA","CYNTHIA.YOUNG@sakilacustomer.org"
"ANGELA","ANGELA.HERNANDEZ@sakilacustomer.org"
"MELISSA","MELISSA.KING@sakilacustomer.org"
"BRENDA","BRENDA.WRIGHT@sakilacustomer.org"
"AMY","AMY.LOPEZ@sakilacustomer.org"
"ANNA","ANNA.HILL@sakilacustomer.org"
"REBECCA","REBECCA.SCOTT@sakilacustomer.org"
"VIRGINIA","VIRGINIA.GREEN@sakilacustomer.org"
"KATHLEEN","KATHLEEN.ADAMS@sakilacustomer.org"
"PAMELA","PAMELA.BAKER@sakilacustomer.org"
"MARTHA","MARTHA.GONZALEZ@sakilacustomer.org"
"DEBRA","DEBRA.NELSON@sakilacustomer.org"
"AMANDA","AMANDA.CARTER@sakilacustomer.org"
"STEPHANIE","STEPHANIE.MITCHELL@sakilacustomer.org"
"CAROLYN","CAROLYN.PEREZ@sakilacustomer.org"
"CHRISTINE","CHRISTINE.ROBERTS@sakilacustomer.org"
"MARIE","MARIE.TURNER@sakilacustomer.org"
"JANET","JANET.PHILLIPS@sakilacustomer.org"
"CATHERINE","CATHERINE.CAMPBELL@sakilacustomer.org"
"FRANCES","FRANCES.PARKER@sakilacustomer.org"
"ANN","ANN.EVANS@sakilacustomer.org"
"JOYCE","JOYCE.EDWARDS@sakilacustomer.org"
"DIANE","DIANE.COLLINS@sakilacustomer.org"
"ALICE","ALICE.STEWART@sakilacustomer.org"
"JULIE","JULIE.SANCHEZ@sakilacustomer.org"
"HEATHER","HEATHER.MORRIS@sakilacustomer.org"
"TERESA","TERESA.ROGERS@sakilacustomer.org"
"DORIS","DORIS.REED@sakilacustomer.org"
"GLORIA","GLORIA.COOK@sakilacustomer.org"
"EVELYN","EVELYN.MORGAN@sakilacustomer.org"
"JEAN","JEAN.BELL@sakilacustomer.org"
"CHERYL","CHERYL.MURPHY@sakilacustomer.org"
"MILDRED","MILDRED.BAILEY@sakilacustomer.org"
"KATHERINE","KATHERINE.RIVERA@sakilacustomer.org"
"JOAN","JOAN.COOPER@sakilacustomer.org"
"ASHLEY","ASHLEY.RICHARDSON@sakilacustomer.org"
"JUDITH","JUDITH.COX@sakilacustomer.org"
"ROSE","ROSE.HOWARD@sakilacustomer.org"
"JANICE","JANICE.WARD@sakilacustomer.org"
"KELLY","KELLY.TORRES@sakilacustomer.org"
"NICOLE","NICOLE.PETERSON@sakilacustomer.org"
"JUDY","JUDY.GRAY@sakilacustomer.org"
"CHRISTINA","CHRISTINA.RAMIREZ@sakilacustomer.org"
"KATHY","KATHY.JAMES@sakilacustomer.org"
"THERESA","THERESA.WATSON@sakilacustomer.org"
"BEVERLY","BEVERLY.BROOKS@sakilacustomer.org"
"DENISE","DENISE.KELLY@sakilacustomer.org"
"TAMMY","TAMMY.SANDERS@sakilacustomer.org"
"IRENE","IRENE.PRICE@sakilacustomer.org"
"JANE","JANE.BENNETT@sakilacustomer.org"
"LORI","LORI.WOOD@sakilacustomer.org"
"RACHEL","RACHEL.BARNES@sakilacustomer.org"
"MARILYN","MARILYN.ROSS@sakilacustomer.org"
"ANDREA","ANDREA.HENDERSON@sakilacustomer.org"
"KATHRYN","KATHRYN.COLEMAN@sakilacustomer.org"
"LOUISE","LOUISE.JENKINS@sakilacustomer.org"
"SARA","SARA.PERRY@sakilacustomer.org"
"ANNE","ANNE.POWELL@sakilacustomer.org"
"JACQUELINE","JACQUELINE.LONG@sakilacustomer.org"
"WANDA","WANDA.PATTERSON@sakilacustomer.org"
"BONNIE","BONNIE.HUGHES@sakilacustomer.org"
"JULIA","JULIA.FLORES@sakilacustomer.org"
"RUBY","RUBY.WASHINGTON@sakilacustomer.org"
"LOIS","LOIS.BUTLER@sakilacustomer.org"
"TINA","TINA.SIMMONS@sakilacustomer.org"
"PHYLLIS","PHYLLIS.FOSTER@sakilacustomer.org"
"NORMA","NORMA.GONZALES@sakilacustomer.org"
"PAULA","PAULA.BRYANT@sakilacustomer.org"
"DIANA","DIANA.ALEXANDER@sakilacustomer.org"
"ANNIE","ANNIE.RUSSELL@sakilacustomer.org"
"LILLIAN","LILLIAN.GRIFFIN@sakilacustomer.org"
"EMILY","EMILY.DIAZ@sakilacustomer.org"
"ROBIN","ROBIN.HAYES@sakilacustomer.org"
"PEGGY","PEGGY.MYERS@sakilacustomer.org"
"CRYSTAL","CRYSTAL.FORD@sakilacustomer.org"
"GLADYS","GLADYS.HAMILTON@sakilacustomer.org"
"RITA","RITA.GRAHAM@sakilacustomer.org"
"DAWN","DAWN.SULLIVAN@sakilacustomer.org"
"CONNIE","CONNIE.WALLACE@sakilacustomer.org"
"FLORENCE","FLORENCE.WOODS@sakilacustomer.org"
"TRACY","TRACY.COLE@sakilacustomer.org"
"EDNA","EDNA.WEST@sakilacustomer.org"
"TIFFANY","TIFFANY.JORDAN@sakilacustomer.org"
"CARMEN","CARMEN.OWENS@sakilacustomer.org"
"ROSA","ROSA.REYNOLDS@sakilacustomer.org"
"CINDY","CINDY.FISHER@sakilacustomer.org"
"GRACE","GRACE.ELLIS@sakilacustomer.org"
"WENDY","WENDY.HARRISON@sakilacustomer.org"
"VICTORIA","VICTORIA.GIBSON@sakilacustomer.org"
"EDITH","EDITH.MCDONALD@sakilacustomer.org"
"KIM","KIM.CRUZ@sakilacustomer.org"
"SHERRY","SHERRY.MARSHALL@sakilacustomer.org"
"SYLVIA","SYLVIA.ORTIZ@sakilacustomer.org"
"JOSEPHINE","JOSEPHINE.GOMEZ@sakilacustomer.org"
"THELMA","THELMA.MURRAY@sakilacustomer.org"
"SHANNON","SHANNON.FREEMAN@sakilacustomer.org"
"SHEILA","SHEILA.WELLS@sakilacustomer.org"
"ETHEL","ETHEL.WEBB@sakilacustomer.org"
"ELLEN","ELLEN.SIMPSON@sakilacustomer.org"
"ELAINE","ELAINE.STEVENS@sakilacustomer.org"
"MARJORIE","MARJORIE.TUCKER@sakilacustomer.org"
"CARRIE","CARRIE.PORTER@sakilacustomer.org"
"CHARLOTTE","CHARLOTTE.HUNTER@sakilacustomer.org"
"MONICA","MONICA.HICKS@sakilacustomer.org"
"ESTHER","ESTHER.CRAWFORD@sakilacustomer.org"
"PAULINE","PAULINE.HENRY@sakilacustomer.org"
"EMMA","EMMA.BOYD@sakilacustomer.org"
"JUANITA","JUANITA.MASON@sakilacustomer.org"
"ANITA","ANITA.MORALES@sakilacustomer.org"
"RHONDA","RHONDA.KENNEDY@sakilacustomer.org"
"HAZEL","HAZEL.WARREN@sakilacustomer.org"
"AMBER","AMBER.DIXON@sakilacustomer.org"
"EVA","EVA.RAMOS@sakilacustomer.org"
"DEBBIE","DEBBIE.REYES@sakilacustomer.org"
"APRIL","APRIL.BURNS@sakilacustomer.org"
"LESLIE","LESLIE.GORDON@sakilacustomer.org"
"CLARA","CLARA.SHAW@sakilacustomer.org"
"LUCILLE","LUCILLE.HOLMES@sakilacustomer.org"
"JAMIE","JAMIE.RICE@sakilacustomer.org"
"JOANNE","JOANNE.ROBERTSON@sakilacustomer.org"
"ELEANOR","ELEANOR.HUNT@sakilacustomer.org"
"VALERIE","VALERIE.BLACK@sakilacustomer.org"
"DANIELLE","DANIELLE.DANIELS@sakilacustomer.org"
"MEGAN","MEGAN.PALMER@sakilacustomer.org"
"ALICIA","ALICIA.MILLS@sakilacustomer.org"
"SUZANNE","SUZANNE.NICHOLS@sakilacustomer.org"
"MICHELE","MICHELE.GRANT@sakilacustomer.org"
"GAIL","GAIL.KNIGHT@sakilacustomer.org"
"BERTHA","BERTHA.FERGUSON@sakilacustomer.org"
"DARLENE","DARLENE.ROSE@sakilacustomer.org"
"VERONICA","VERONICA.STONE@sakilacustomer.org"
"JILL","JILL.HAWKINS@sakilacustomer.org"
"ERIN","ERIN.DUNN@sakilacustomer.org"
"GERALDINE","GERALDINE.PERKINS@sakilacustomer.org"
"LAUREN","LAUREN.HUDSON@sakilacustomer.org"
"CATHY","CATHY.SPENCER@sakilacustomer.org"
"JOANN","JOANN.GARDNER@sakilacustomer.org"
"LORRAINE","LORRAINE.STEPHENS@sakilacustomer.org"
"LYNN","LYNN.PAYNE@sakilacustomer.org"
"SALLY","SALLY.PIERCE@sakilacustomer.org"
"REGINA","REGINA.BERRY@sakilacustomer.org"
"ERICA","ERICA.MATTHEWS@sakilacustomer.org"
"BEATRICE","BEATRICE.ARNOLD@sakilacustomer.org"
"DOLORES","DOLORES.WAGNER@sakilacustomer.org"
"BERNICE","BERNICE.WILLIS@sakilacustomer.org"
"AUDREY","AUDREY.RAY@sakilacustomer.org"
"YVONNE","YVONNE.WATKINS@sakilacustomer.org"
"ANNETTE","ANNETTE.OLSON@sakilacustomer.org"
"JUNE","JUNE.CARROLL@sakilacustomer.org"
"SAMANTHA","SAMANTHA.DUNCAN@sakilacustomer.org"
"MARION","MARION.SNYDER@sakilacustomer.org"
"DANA","DANA.HART@sakilacustomer.org"
"STACY","STACY.CUNNINGHAM@sakilacustomer.org"
"ANA","ANA.BRADLEY@sakilacustomer.org"
"RENEE","RENEE.LANE@sakilacustomer.org"
"IDA","IDA.ANDREWS@sakilacustomer.org"
